Home Team,Away Team,HT Goals,AT Goals,Match Result,HT Avg Scored Goals,HT Avg Conceded Goals,HT GF,HT GA,AT Avg Scored Goals,AT Avg Conceded Goals,AT GF,AT GA
6,9,2,1,H,1.710526316,1.421052632,65,54,1.342105263,1.263157895,51,48
14,18,2,0,H,1.473684211,1.842105263,56,70,0.8947368421,1.815789474,34,69
19,12,0,2,A,0.8947368421,2.131578947,34,81,1.342105263,1.394736842,51,53
20,3,0,3,A,0.5789473684,2,22,76,1.657894737,1.026315789,63,39
13,4,1,2,A,1.105263158,1.263157895,42,48,1.763157895,1.026315789,67,39
11,17,2,0,H,1.368421053,1.552631579,52,59,0.9210526316,1.578947368,35,60
7,8,2,2,D,1.236842105,1.210526316,47,46,1.421052632,1.210526316,54,46
5,1,0,2,A,1.921052632,1.342105263,73,51,2.5,0.6052631579,95,23
2,10,4,0,H,2.342105263,0.5789473684,89,22,1.368421053,1.447368421,52,55
16,15,0,0,D,1.184210526,1.710526316,45,65,1.184210526,1.789473684,45,68
18,13,0,0,D,0.8947368421,1.815789474,34,69,1.105263158,1.263157895,42,48
3,5,3,2,H,1.657894737,1.026315789,63,39,1.921052632,1.342105263,73,51
8,16,2,1,H,1.421052632,1.210526316,54,46,1.184210526,1.710526316,45,65
9,7,2,0,H,1.342105263,1.263157895,51,48,1.236842105,1.210526316,47,46
4,19,3,1,H,1.763157895,1.026315789,67,39,0.8947368421,2.131578947,34,81
10,14,1,2,A,1.368421053,1.447368421,52,55,1.473684211,1.842105263,56,70
17,6,3,2,H,0.9210526316,1.578947368,35,60,1.710526316,1.421052632,65,54
15,11,1,3,A,1.184210526,1.789473684,45,68,1.368421053,1.552631579,52,59
1,20,6,1,H,2.5,0.6052631579,95,23,0.5789473684,2,22,76
12,2,0,2,A,1.342105263,1.394736842,51,53,2.342105263,0.5789473684,89,22
5,10,3,1,H,1.921052632,1.342105263,73,51,1.368421053,1.447368421,52,55
14,8,2,2,D,1.473684211,1.842105263,56,70,1.421052632,1.210526316,54,46
20,18,0,0,D,0.5789473684,2,22,76,0.8947368421,1.815789474,34,69
2,17,1,0,H,2.342105263,0.5789473684,89,22,0.9210526316,1.578947368,35,60
16,9,1,2,A,1.184210526,1.710526316,45,65,1.342105263,1.263157895,51,48
7,1,1,1,D,1.236842105,1.210526316,47,46,2.5,0.6052631579,95,23
19,15,4,2,H,0.8947368421,2.131578947,34,81,1.184210526,1.789473684,45,68
13,3,1,2,A,1.105263158,1.263157895,42,48,1.657894737,1.026315789,63,39
11,12,2,1,H,1.368421053,1.552631579,52,59,1.342105263,1.394736842,51,53
6,4,0,3,A,1.710526316,1.421052632,65,54,1.763157895,1.026315789,67,39
17,19,2,2,D,0.9210526316,1.578947368,35,60,0.8947368421,2.131578947,34,81
3,14,2,0,H,1.657894737,1.026315789,63,39,1.473684211,1.842105263,56,70
12,16,0,2,A,1.342105263,1.394736842,51,53,1.184210526,1.710526316,45,65
8,20,1,1,D,1.421052632,1.210526316,54,46,0.5789473684,2,22,76
9,2,1,2,A,1.342105263,1.263157895,51,48,2.342105263,0.5789473684,89,22
1,13,2,1,H,2.5,0.6052631579,95,23,1.105263158,1.263157895,42,48
10,7,0,1,A,1.368421053,1.447368421,52,55,1.236842105,1.210526316,47,46
15,6,0,2,A,1.184210526,1.789473684,45,68,1.710526316,1.421052632,65,54
18,5,2,3,A,0.8947368421,1.815789474,34,69,1.921052632,1.342105263,73,51
11,4,2,1,H,1.368421053,1.552631579,52,59,1.763157895,1.026315789,67,39
14,9,4,2,H,1.473684211,1.842105263,56,70,1.342105263,1.263157895,51,48
3,18,4,1,H,1.657894737,1.026315789,63,39,0.8947368421,1.815789474,34,69
20,12,0,1,A,0.5789473684,2,22,76,1.342105263,1.394736842,51,53
1,19,3,0,H,2.5,0.6052631579,95,23,0.8947368421,2.131578947,34,81
13,5,1,2,A,1.105263158,1.263157895,42,48,1.921052632,1.342105263,73,51
4,2,1,2,A,1.763157895,1.026315789,67,39,2.342105263,0.5789473684,89,22
11,6,1,2,A,1.368421053,1.552631579,52,59,1.710526316,1.421052632,65,54
8,10,1,3,A,1.421052632,1.210526316,54,46,1.368421053,1.447368421,52,55
7,15,1,0,H,1.236842105,1.210526316,47,46,1.184210526,1.789473684,45,68
16,17,2,2,D,1.184210526,1.710526316,45,65,0.9210526316,1.578947368,35,60
17,4,1,2,A,0.9210526316,1.578947368,35,60,1.763157895,1.026315789,67,39
